,title,content,published_date,image_url,description,source,author,article_url
0,From unwinding zero-Covid to economic recovery: What to watch in China in 2023,"Editors Note: A version of this story appeared in CNNs Meanwhile in China newsletter, a three-times-a-week update exploring what you need to know about the countrys rise and how it impacts the world.… [+9354 chars]",2023-01-02T07:31:14Z,"https://media.cnn.com/api/v1/images/stellar/prod/221227153637-china-travel-covid.jpg?c=16x9&q=w_800,c_fill","After a tumultuous end to a momentous and challenging year, China heads into 2023 with a great deal of uncertainty -- and potentially a glimpse of light at the end of the pandemic tunnel.","{'id': 'cnn', 'name': 'CNN'}","Nectar Gan, Jessie Yeung, Laura He",https://www.cnn.com/2023/01/02/china/china-2023-lookahead-intl-hnk-mic/index.html
1,Workers in China clash with police after reported layoffs at Covid test maker,"Workers at a Chinese factory making Covid-19 test kits clashed with police over the weekend after their managers apparently told them to go on vacation early, a move that effectively terminated their… [+1573 chars]",2023-01-09T13:22:27Z,"https://media.cnn.com/api/v1/images/stellar/prod/230109110548-china-rapid-test-worker-protests.jpg?c=16x9&q=w_800,c_fill","Workers at a Chinese factory making Covid-19 test kits clashed with police over the weekend after their managers apparently told them to go on vacation early, a move that effectively terminated their employment without notice, according to social media posts …","{'id': 'cnn', 'name': 'CNN'}","Wayne Chang, Michelle Toh",https://www.cnn.com/2023/01/09/business/china-covid-tests-factory-protests-intl-hnk/index.html
2,Natural gas prices haven't been this low since Russia went to war,"Natural gas prices in Europe and the United States have tumbled to levels last seen before Russia sparked a global energy crisis by invading Ukraine.
Wholesale European gas prices, as measured by th… [+6482 chars]",2023-01-06T17:25:53Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105133050-europe-gas-prices-file-2022.jpg?c=16x9&q=w_800,c_fill",Natural gas prices in Europe and the United States have tumbled to levels last seen before Russia sparked a global energy crisis by invading Ukraine.,"{'id': 'cnn', 'name': 'CNN'}",Anna Cooban,https://www.cnn.com/2023/01/06/energy/natural-gas-pre-war-price/index.html
3,Investors anxiously await jobs report for clues about Fed rate hikes,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+6505 chars],2023-01-05T12:56:50Z,"https://media.cnn.com/api/v1/images/stellar/prod/230104122645-help-wanted-file-070822.jpg?c=16x9&q=w_800,c_fill",Economists are betting that the labor market cooled in December. That may be music to investors' ears.,"{'id': 'cnn', 'name': 'CNN'}",Paul R. La Monica,https://www.cnn.com/2023/01/05/investing/premarket-stocks-trading/index.html
4,Satellite images capture crowding at China's crematoriums and funeral homes as Covid surge continues,"Satellite images taken over a number of Chinese cities have captured crowding at crematoriums and funeral homes, as the country continues its battle with an unprecedented wave of Covid-19 infections … [+1716 chars]",2023-01-10T12:59:42Z,"https://media.cnn.com/api/v1/images/stellar/prod/230110122039-08-china-funeral-crowds.jpg?c=16x9&q=w_800,c_fill","Satellite images taken over a number of Chinese cities have captured crowding at crematoriums and funeral homes, as the country continues its battle with an unprecedented wave of Covid-19 infections following its dismantling of severe pandemic restrictions.","{'id': 'cnn', 'name': 'CNN'}","Sophie Jeong, Wayne Chang",https://www.cnn.com/2023/01/10/asia/china-funeral-homes-imagery-covid-intl/index.html
5,Four things to watch out for in the Middle East in 2023,"Editors Note: A version of this story appears in todays Meanwhile in the Middle East newsletter, CNNs three-times-a-week look inside the regions biggest stories. Sign up here.
The event that dominat… [+13477 chars]",2023-01-02T13:50:36Z,"https://media.cnn.com/api/v1/images/stellar/prod/230102111443-iranian-drone-kyiv-file-101722.jpg?c=16x9&q=w_800,c_fill","The event that dominated the world's news agenda in 2022 was the Ukraine war and its far-reaching repercussions. Its impact was felt deeply in the Middle East, with the region's energy supplies, strategic waterways, and even weapons industries playing a key r…","{'id': 'cnn', 'name': 'CNN'}",Abbas Al Lawati,https://www.cnn.com/2023/01/02/middleeast/four-things-mideast-2023-mime-intl/index.html
6,"China 'under-representing' true impact of Covid outbreak, says WHO","The World Health Organization has accused China of under-representing the severity of its Covid outbreak and criticized its narrow definition of what constitutes a Covid death, as top global health o… [+3785 chars]",2023-01-05T05:22:08Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105111147-covid-fuyan-010423.jpg?c=16x9&q=w_800,c_fill","The World Health Organization has accused China of ""under-representing"" the severity of its Covid outbreak and criticized its ""narrow"" definition of what constitutes a Covid death, as top global health officials urge Beijing to share more data about the explo…","{'id': 'cnn', 'name': 'CNN'}",Simone McCarthy,https://www.cnn.com/2023/01/05/china/china-covid-outbreak-who-data-intl-hnk/index.html
7,"Major Chinese cities past Covid peak as wave moves to rural areas, new study projects","The wave of Covid infections sweeping across China may already have peaked in some of the countrys largest cities, including Shanghai and Beijing, according to a new study.
The study, published on D… [+2758 chars]",2023-01-03T06:02:42Z,"https://media.cnn.com/api/v1/images/stellar/prod/230103145558-china-covid-010323.jpg?c=16x9&q=w_800,c_fill","The wave of Covid infections sweeping across China may already have peaked in some of the country's largest cities, including Shanghai and Beijing, according to a new study.","{'id': 'cnn', 'name': 'CNN'}","Alex Stambaugh, Rhea Mogul",https://www.cnn.com/2023/01/03/china/china-covid-peak-2022-intl-hnk/index.html
8,China stops issuing short-term visas for South Koreans in retaliation for travel restrictions,"Chinese authorities have stopped issuing short-term visas to South Korean citizens in the countrys first retaliation against Covid entry restrictions on arrivals from China.
Visas for business, tour… [+1927 chars]",2023-01-10T07:42:08Z,"https://media.cnn.com/api/v1/images/stellar/prod/230110140211-pcr-china-travelers-to-south-korea.jpg?c=16x9&q=w_800,c_fill",Chinese authorities have stopped issuing short-term visas to South Korean citizens in the first country's retaliation against Covid entry restrictions on arrivals from China.,"{'id': 'cnn', 'name': 'CNN'}","Wayne Chang, Simone McCarthy",https://www.cnn.com/2023/01/10/china/china-south-korea-visa-covid-restrictions-retaliation-intl-hnk/index.html
9,Can international tourists visit China? Everything you need to know about the country's reopening,"Editor's Note Sign up for Unlocking the World, CNN Travel's weekly newsletter. Get news about destinations opening, inspiration for future adventures, plus the latest in aviation, food and drink, whe… [+11969 chars]",2023-01-06T02:21:41Z,https://cdn.cnn.com/cnnnext/dam/assets/230104122904-01-china-reopening-tourism-shanghai-super-tease.jpg,What are the new rules as China lifts its Covid travel restrictions for the first time in three years? We answer the key questions about how people can leave and enter China and what that means for both inbound and outbound tourism.,"{'id': 'cnn', 'name': 'CNN'}","By Karla Cripps, CNN",https://www.cnn.com/travel/article/china-reopening-tourism-explainer-intl-hnk/index.html
10,Asian stocks enter bull market as investors bet on China,"Stocks in Asia are starting 2023 in a bull market. Investors have been cheered by Chinas pivot away from its zero-Covid policy, the ending of its crackdown on tech companies and Beijings renewed comm… [+2281 chars]",2023-01-10T11:57:08Z,"https://media.cnn.com/api/v1/images/stellar/prod/230110103139-hang-seng-010323.jpg?c=16x9&q=w_800,c_fill","Stocks in Asia are starting 2023 in a bull market. Investors have been cheered by China's pivot away from its zero-Covid policy, the ending of its crackdown on tech companies and Beijing's renewed commitment to growing the world's second biggest economy.","{'id': 'cnn', 'name': 'CNN'}",Anna Cooban,https://www.cnn.com/2023/01/10/investing/asia-stocks-bull-market-china/index.html
11,Taiwan willing to offer help to China to deal with Covid-19 surge,"Taiwans President Tsai Ing-wen said the self-ruled democratic island is willing to provide assistance to help China deal with its Covid surge after Beijing eased its hardline approach last month.
Ch… [+2640 chars]",2023-01-01T03:31:49Z,"https://media.cnn.com/api/v1/images/stellar/prod/221231205533-tsai-ing-wen-1227-file.jpg?c=16x9&q=w_800,c_fill",Taiwan's President Tsai Ing-wen said the self-ruled democratic island is willing to provide assistance to help China deal with its Covid surge after Beijing eased its hardline approach last month.,"{'id': 'cnn', 'name': 'CNN'}","Wayne Chang, Kathleen Magramo",https://www.cnn.com/2022/12/31/asia/china-covid-surge-taiwan-help-intl-hnk/index.html
12,What the return of Chinese tourists means for the global economy,"In the years before Covid, China was the worlds most important source of international travelers. Its 155 million tourists spent more than a quarter of a trillion dollars beyond its borders in 2019. … [+6550 chars]",2023-01-07T01:46:04Z,"https://media.cnn.com/api/v1/images/stellar/prod/230106014355-01-beijing-airport-123022-restricted.jpg?c=16x9&q=w_800,c_fill","In the years before Covid, China was the world's most important source of international travelers. Its 155 million tourists spent more than a quarter of a trillion dollars beyond its borders in 2019.","{'id': 'cnn', 'name': 'CNN'}","Laura He, Juliana Liu, Cheng Cheng",https://www.cnn.com/2023/01/06/economy/china-tourist-boom-post-covid-impact-intl-hnk/index.html
13,China to open border with Hong Kong after three years of tight control,"The Chinese government announced on Thursday that it will reopen its border with Hong Kong on January 8, nearly three years after it was largely shut in an effort to contain the spread of Covid. 
Th… [+1815 chars]",2023-01-05T06:28:00Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105003851-01-hk-china-border-121421.jpg?c=16x9&q=w_800,c_fill","The Chinese government announced on Thursday that it will reopen its border with Hong Kong on January 8, nearly three years after it was largely shut in an effort to contain the spread of Covid.","{'id': 'cnn', 'name': 'CNN'}","Wayne Chang, Simone McCarthy",https://www.cnn.com/2023/01/05/china/hong-kong-china-border-reopening-january-8-intl-hnk/index.html
14,CDC has tested wastewater from aircraft amid concerns over Covid-19 surge in China,"The US Centers for Disease Control and Prevention has done some very preliminary work to do wastewater testing with airlines, Lori Tremmel Freeman, chief executive officer for the National Associatio… [+2508 chars]",2023-01-05T22:19:33Z,"https://media.cnn.com/api/v1/images/stellar/prod/220619213014-airplane.jpg?c=16x9&q=w_800,c_fill","The US Centers for Disease Control and Prevention has ""done some very preliminary work"" to do wastewater testing with airlines, Lori Tremmel Freeman, chief executive officer for the National Association of County and City Health Officials, said Wednesday. The…","{'id': 'cnn', 'name': 'CNN'}","Jacqueline Howard, Kylie Atwood, Pete Muntean",https://www.cnn.com/2023/01/05/health/airplane-wastewater-covid-testing/index.html
15,"'Everything starts to become better': After three years of Covid isolation, China opens its gates","Simone McCarthy, Selina Wang, Ivan Watson and Wayne Chang, CNNPublished 9th January 2023
Hong Kong (CNN) Thousands of travelers crossed mainland China's borders on Sunday for joyful reunions and lon… [+5967 chars]",2023-01-09T09:05:16Z,https://cdn.cnn.com/cnnnext/dam/assets/230109110023-travel-beijing-airport-super-tease.jpg,Thousands of travelers crossed mainland China's borders on Sunday for joyful reunions and long-awaited journeys as authorities relaxed restrictions that had both separated families and isolated the world's most populous country for nearly three years.,"{'id': 'cnn', 'name': 'CNN'}","By Simone McCarthy, Selina Wang, Ivan Watson and Wayne Chang, CNN",https://www.cnn.com/travel/article/china-borders-opening-travelers-react-intl-hnk/index.html
16,Global markets try to put last year's misery behind them,"Global stocks are striding higher on the first major trading day of 2023 as investors try to look beyond a gloomy outlook for the world economy, Chinas worst Covid outbreak and stubbornly high inflat… [+3473 chars]",2023-01-03T11:16:36Z,"https://media.cnn.com/api/v1/images/stellar/prod/230102123014-01-global-stocks-010223.jpg?c=16x9&q=w_800,c_fill","Global stocks are striding higher on the first major trading day of 2023 as investors try to look beyond a gloomy outlook for the world economy, China's worst Covid outbreak and stubbornly high inflation in Europe.","{'id': 'cnn', 'name': 'CNN'}",Anna Cooban,https://www.cnn.com/2023/01/03/investing/global-markets-new-year-stocks-rise/index.html
17,Here's what will drive markets this year - CNN,A version of this story first appeared in CNN Business Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the s… [+5404 chars],2023-01-03T12:18:00Z,"https://media.cnn.com/api/v1/images/stellar/prod/221229162028-new-york-stock-exchange-file-1117222.jpg?c=16x9&q=w_800,c_fill",Welcome to the first trading day of 2023. Markets are pushing higher but don't get comfortable just yet — if last year taught us anything it's to expect the unexpected.,"{'id': 'cnn', 'name': 'CNN'}",Nicole Goodkind,https://www.cnn.com/2023/01/03/investing/premarket-stocks-trading/index.html
18,Australia's top health adviser urged government against restrictions on travelers from China,"Australias top medical officer advised the government against imposing any restrictions on travelers coming from China, a day before the health minister announced new testing requirements, internal d… [+4918 chars]",2023-01-03T07:35:10Z,"https://media.cnn.com/api/v1/images/stellar/prod/221228113404-hong-kong-airport-file-122022.jpg?c=16x9&q=w_800,c_fill","Australia's top medical officer advised the government against imposing any restrictions on travelers coming from China, a day before the health minister announced new testing requirements, internal documents show.","{'id': 'cnn', 'name': 'CNN'}","Jessie Yeung, Hilary Whiteman, Alex Stambaugh",https://www.cnn.com/2023/01/03/australia/australia-china-covid-travel-restrictions-intl-hnk/index.html
19,"Alibaba, US-listed Chinese firms make roaring comeback in 2023 - CNN","Chinese tech giants are witnessing a dream start to the year. 
The Nasdaq Golden Dragon China Index a popular index tracking Chinese firms listed in the United States soared 13% in the first two tra… [+2671 chars]",2023-01-05T07:22:00Z,"https://media.cnn.com/api/v1/images/stellar/prod/230105140535-ant-group-booth.jpg?c=16x9&q=w_800,c_fill","Alibaba, US-listed Chinese firms make roaring comeback in 2023  CNN","{'id': 'cnn', 'name': 'CNN'}",Laura He,https://www.cnn.com/2023/01/05/tech/ant-group-china-tech-giants-rebound-intl-hnk/index.html
20,Cathay Pacific ramps up flights between Hong Kong and China as borders reopen,"Hong Kongs flagship airline is more than doubling its flights from the city to China after the easing of pandemic restrictions, raising hopes of a recoveryafter dramatically cutting operations and su… [+2454 chars]",2023-01-06T04:35:58Z,"https://media.cnn.com/api/v1/images/stellar/prod/230106105938-cathay-pacific-hk-file.jpg?c=16x9&q=w_800,c_fill","Hong Kong's flagship airline Cathay Pacific is more than doubling its flights to China after a massive easing of travel restrictions, raising hopes to return to pre-pandemic levels by the end of 2023 after dramatically cutting operations and suffering losses …","{'id': 'cnn', 'name': 'CNN'}",Kathleen Magramo,https://www.cnn.com/2023/01/05/business/cathay-pacific-doubles-flights-china-intl-hnk/index.html
21,Tom Zhu: China boss is now highest-profile Tesla executive after Elon Musk,"Tesla Incs China chief Tom Zhu has been promoted to take charge of the electric carmakers US assembly plants as well as sales operations in North America and Europe, according to an internal posting … [+3682 chars]",2023-01-03T05:10:20Z,"https://media.cnn.com/api/v1/images/stellar/prod/230103134208-tom-zhu-file.jpg?c=16x9&q=w_800,c_fill","Tesla Inc's China chief Tom Zhu has been promoted to take charge of the electric carmaker's US assembly plants as well as sales operations in North America and Europe, according to an internal posting of reporting lines reviewed by Reuters.","{'id': 'cnn', 'name': 'CNN'}",Reuters,https://www.cnn.com/2023/01/03/cars/tom-zhu-promotion-tesla-north-america-sales-intl-hnk/index.html
